ID User,Start Session,End Session
2902307,2023-02-25T07:35:00,2023-02-25T08:24:00
2903989,2023-02-27T10:01:00,2023-02-27T10:29:00
2902237,2022-08-02T19:23:00,2022-08-02T21:32:00
2901343,2023-04-23T08:48:00,2023-04-23T11:44:00
2901943,2023-01-05T19:02:00,2023-01-05T21:04:00
2903667,2022-10-29T19:29:00,2022-10-30T01:37:00
2904042,2023-03-10T01:01:00,2023-03-10T01:02:00
2904006,2022-11-07T00:45:00,2022-11-07T04:19:00
2901459,2023-04-18T01:34:00,2023-04-18T01:38:00
2902373,2023-03-09T13:36:00,
2904074,2023-02-08T07:16:00,2023-02-08T07:44:00
2904003,2023-04-01T06:58:00,2023-04-01T11:25:00
2901621,2023-03-28T00:50:00,2023-03-28T00:57:00
2901811,2023-03-29T18:09:00,2023-03-29T18:22:00
2903567,2022-11-30T19:17:00,2022-11-30T21:36:00
2901661,2023-01-23T11:55:00,2023-01-23T11:59:00
2901272,2022-09-09T01:02:00,2022-09-09T04:23:00
2903469,2023-04-30T19:12:00,2023-04-30T19:45:00
2903636,2023-03-01T19:39:00,2023-03-01T19:47:00
2901295,2022-09-09T19:03:00,2022-09-09T21:08:00
2902432,2023-04-12T19:01:00,2023-04-12T20:40:00
2902601,2022-11-01T10:20:00,2022-11-01T13:14:00
2901626,2022-12-15T01:33:00,2022-12-15T03:45:00
2903257,2022-11-27T19:01:00,2022-11-27T23:13:00
2902388,2022-09-27T16:52:00,2022-09-27T19:48:00
2904055,2022-09-17T19:43:00,2022-09-17T21:48:00
2902703,2023-03-17T17:17:00,2023-03-17T18:02:00
2902567,2023-03-24T09:09:00,2023-03-24T09:52:00
2903479,2022-08-02T05:19:00,2022-08-02T09:02:00
2903506,2023-03-22T16:37:00,2023-03-22T16:46:00
2903640,2023-03-24T03:43:00,2023-03-24T03:46:00
2901225,2023-03-03T05:40:00,2023-03-03T10:02:00
2902387,2023-03-30T10:06:00,2023-03-30T12:07:00
2903904,2023-01-19T02:48:00,2023-01-19T02:58:00
2903063,2023-04-11T13:11:00,2023-04-11T16:35:00
2904084,2023-03-26T07:46:00,2023-03-26T09:21:00
2903776,2023-02-18T20:30:00,2023-02-18T20:35:00
2901923,2022-08-28T18:28:00,2022-08-28T21:41:00
2902582,2022-12-06T18:08:00,2022-12-06T23:24:00
2902321,2022-09-29T10:18:00,2022-09-29T11:44:00
2903801,2023-04-18T09:22:00,2023-04-18T13:08:00
2901061,2023-04-18T19:23:00,2023-04-18T22:25:00
2903345,2022-11-18T03:08:00,2022-11-18T04:04:00
2902463,2022-11-13T16:44:00,
2902393,2023-02-11T18:02:00,2023-02-12T02:31:00
2901501,2023-02-22T19:45:00,2023-02-23T20:21:00
2901346,2022-09-05T08:51:00,2022-09-05T11:16:00
2901928,2023-03-15T06:20:00,2023-03-15T07:15:00
2903286,2022-10-16T00:59:00,2022-10-16T01:05:00
2903828,2022-08-24T17:43:00,
2903572,2023-04-17T16:19:00,2023-04-17T18:16:00
2903158,2023-04-05T18:57:00,2023-04-05T20:28:00
2903027,2022-08-05T16:08:00,2022-08-05T18:36:00
2901292,2023-03-12T10:46:00,2023-03-12T11:14:00
2901514,2023-04-10T13:26:00,2023-04-10T13:28:00
2903354,2022-10-15T03:55:00,
2903434,2022-10-01T04:45:00,2022-10-01T04:53:00
2901665,2022-09-05T09:24:00,2022-09-05T09:31:00
2901036,2022-11-08T21:18:00,2022-11-08T21:21:00
2902117,2022-10-27T20:27:00,2022-10-27T21:15:00
2903090,2023-04-20T11:30:00,2023-04-20T15:45:00
2902755,2022-09-09T17:16:00,2022-09-09T21:05:00
2903274,2023-04-11T21:19:00,2023-04-11T23:15:00
2902250,2023-03-05T00:38:00,2023-03-05T04:31:00
2901983,2023-04-11T19:27:00,2023-04-13T19:47:00
2902953,2023-01-22T04:37:00,2023-01-22T05:00:00
